,trial_names,result
170,pick_and_place_simple-Spoon-None-SinkBasin-19_0:,PASS
171,pick_and_place_simple-SoapBottle-None-Toilet-429_0:,FAIL
172,pick_and_place_simple-ToiletPaper-None-Toilet-429_0:,FAIL
173,pick_and_place_simple-TissueBox-None-Dresser-301_0:,FAIL
174,pick_and_place_simple-TissueBox-None-Dresser-301_0:,FAIL
175,pick_and_place_simple-TissueBox-None-Dresser-301_0:,FAIL
176,pick_and_place_simple-SoapBottle-None-Toilet-429_0:,FAIL
177,pick_and_place_simple-SoapBottle-None-Toilet-429_0:,FAIL
178,pick_and_place_simple-Watch-None-Shelf-207_0:,PASS
179,pick_and_place_simple-Plunger-None-Cabinet-422_0:,FAIL
180,pick_and_place_simple-Watch-None-Shelf-207_0:,PASS
181,pick_and_place_simple-Knife-None-SideTable-3_0:,PASS
182,pick_and_place_simple-Knife-None-SideTable-3_0:,PASS
183,pick_and_place_simple-KeyChain-None-Sofa-225_0:,PASS
184,pick_and_place_simple-KeyChain-None-Sofa-225_0:,PASS
185,pick_and_place_simple-RemoteControl-None-Ottoman-208_0:,PASS
186,pick_and_place_simple-Spoon-None-SinkBasin-19_0:,PASS
187,pick_and_place_simple-RemoteControl-None-Ottoman-208_0:,PASS
188,pick_and_place_simple-KeyChain-None-Sofa-225_0:,PASS
189,pick_and_place_simple-Watch-None-Shelf-207_0:,PASS
190,pick_and_place_simple-RemoteControl-None-Ottoman-208_0:,PASS
191,pick_and_place_simple-SoapBottle-None-Cart-430_0:,FAIL
192,pick_and_place_simple-SoapBottle-None-Cart-430_0:,FAIL
193,pick_and_place_simple-SaltShaker-None-Cabinet-10_0:,FAIL
194,pick_and_place_simple-SoapBottle-None-Cart-430_0:,FAIL
195,pick_and_place_simple-Plunger-None-Cabinet-422_0:,FAIL
196,pick_and_place_simple-SaltShaker-None-Cabinet-10_0:,FAIL
197,pick_and_place_simple-SaltShaker-None-Cabinet-10_0:,FAIL
198,pick_and_place_simple-RemoteControl-None-Sofa-222_0:,PASS
199,pick_and_place_simple-SprayBottle-None-GarbageCan-421_0:,PASS
200,pick_and_place_simple-RemoteControl-None-Sofa-222_0:,FAIL
201,pick_and_place_simple-RemoteControl-None-Sofa-222_0:,FAIL
202,pick_and_place_simple-SprayBottle-None-GarbageCan-421_0:,PASS
203,pick_and_place_simple-SprayBottle-None-GarbageCan-421_0:,PASS
204,pick_and_place_simple-SprayBottle-None-Cabinet-403_0:,FAIL
205,pick_and_place_simple-SprayBottle-None-Cabinet-403_0:,FAIL
206,pick_and_place_simple-RemoteControl-None-ArmChair-227_0:,PASS
207,pick_and_place_simple-RemoteControl-None-ArmChair-227_0:,FAIL
208,pick_and_place_simple-RemoteControl-None-ArmChair-227_0:,FAIL
209,pick_and_place_simple-SprayBottle-None-Cabinet-403_0:,FAIL
210,pick_and_place_simple-WateringCan-None-CoffeeTable-209_0:,PASS
211,pick_and_place_simple-WateringCan-None-CoffeeTable-209_0:,PASS
212,pick_and_place_simple-WateringCan-None-CoffeeTable-209_0:,PASS
213,pick_and_place_simple-KeyChain-None-ArmChair-213_0:,PASS
214,pick_and_place_simple-KeyChain-None-ArmChair-213_0:,PASS
215,pick_and_place_simple-Laptop-None-Ottoman-203_0:,FAIL
216,pick_and_place_simple-Laptop-None-Ottoman-203_0:,FAIL
217,pick_and_place_simple-Laptop-None-Ottoman-203_0:,FAIL
218,pick_and_place_simple-KeyChain-None-Shelf-313_0:,PASS
219,pick_and_place_simple-CellPhone-None-ArmChair-321_0:,PASS
220,pick_and_place_simple-RemoteControl-None-Sofa-216_0:,PASS
221,pick_and_place_simple-CellPhone-None-ArmChair-321_0:,PASS
222,pick_and_place_simple-SoapBottle-None-Toilet-426_0:,PASS
223,pick_and_place_simple-RemoteControl-None-Sofa-216_0:,FAIL
224,pick_and_place_simple-BaseballBat-None-Bed-308_0:,PASS
225,pick_and_place_simple-CellPhone-None-ArmChair-321_0:,PASS
226,pick_and_place_simple-RemoteControl-None-Sofa-216_0:,FAIL
227,pick_and_place_simple-KeyChain-None-Shelf-313_0:,PASS
228,pick_and_place_simple-BaseballBat-None-Bed-308_0:,PASS
229,pick_and_place_simple-BaseballBat-None-Bed-308_0:,PASS
230,pick_and_place_simple-Plunger-None-Cabinet-406_0:,PASS
231,pick_and_place_simple-Vase-None-Safe-219_0:,PASS
232,pick_and_place_simple-Vase-None-Safe-219_0:,PASS
233,pick_and_place_simple-Vase-None-Safe-219_0:,PASS
234,pick_and_place_simple-SoapBottle-None-Toilet-426_0:,FAIL
235,pick_and_place_simple-SoapBottle-None-Toilet-426_0:,FAIL
236,pick_and_place_simple-KeyChain-None-Shelf-313_0:,FAIL
237,pick_and_place_simple-Plunger-None-Cabinet-406_0:,FAIL
238,pick_and_place_simple-Book-None-Cabinet-310_0:,PASS
239,pick_and_place_simple-Book-None-Desk-314_0:,PASS
240,pick_and_place_simple-Book-None-Cabinet-310_0:,PASS
241,pick_and_place_simple-Book-None-Cabinet-310_0:,PASS
242,pick_and_place_simple-Book-None-Desk-314_0:,PASS
243,pick_and_place_simple-Book-None-Desk-314_0:,PASS
244,pick_and_place_simple-Knife-None-SinkBasin-20_0:,PASS
245,pick_and_place_simple-CreditCard-None-ArmChair-216_0:,PASS
246,pick_and_place_simple-CreditCard-None-ArmChair-216_0:,PASS
247,pick_and_place_simple-CreditCard-None-ArmChair-216_0:,PASS
248,pick_and_place_simple-Knife-None-SinkBasin-20_0:,PASS
249,pick_and_place_simple-Statue-None-CoffeeTable-230_0:,PASS
250,pick_and_place_simple-Statue-None-CoffeeTable-230_0:,PASS
251,pick_and_place_simple-Knife-None-SinkBasin-20_0:,PASS
252,pick_and_place_simple-SoapBottle-None-Cabinet-414_0:,FAIL
253,pick_and_place_simple-SoapBottle-None-Cabinet-414_0:,FAIL
254,pick_and_place_simple-Newspaper-None-Sofa-224_0:,PASS
255,pick_and_place_simple-Newspaper-None-Sofa-224_0:,PASS
256,pick_and_place_simple-SoapBottle-None-Cabinet-414_0:,FAIL
257,pick_and_place_simple-Newspaper-None-Sofa-224_0:,PASS
258,pick_and_place_simple-CD-None-SideTable-328_0:,PASS
259,pick_and_place_simple-CD-None-SideTable-328_0:,PASS
260,pick_and_place_simple-CD-None-SideTable-328_0:,PASS
261,pick_and_place_simple-TissueBox-None-GarbageCan-427_0:,PASS
262,pick_and_place_simple-Newspaper-None-Ottoman-210_0:,PASS
263,pick_and_place_simple-Pencil-None-Shelf-313_0:,PASS
264,pick_and_place_simple-Newspaper-None-Ottoman-210_0:,PASS
265,pick_and_place_simple-Pencil-None-Shelf-313_0:,PASS
266,pick_and_place_simple-Pencil-None-Shelf-313_0:,PASS
267,pick_and_place_simple-Newspaper-None-Ottoman-210_0:,PASS
268,pick_and_place_simple-Pencil-None-Shelf-308_0:,PASS
269,pick_and_place_simple-Pencil-None-Shelf-308_0:,PASS
270,pick_and_place_simple-SoapBottle-None-Toilet-406_0:,PASS
271,pick_and_place_simple-TissueBox-None-GarbageCan-427_0:,FAIL
272,pick_and_place_simple-SoapBottle-None-Toilet-406_0:,PASS
273,pick_and_place_simple-TissueBox-None-GarbageCan-427_0:,FAIL
274,pick_and_place_simple-ButterKnife-None-Drawer-8_0:,PASS
275,pick_and_place_simple-Pencil-None-Shelf-308_0:,PASS
276,pick_and_place_simple-ButterKnife-None-Drawer-8_0:,FAIL
277,pick_and_place_simple-ButterKnife-None-Drawer-8_0:,FAIL
278,pick_and_place_simple-HandTowel-None-SinkBasin-415_0:,PASS
279,pick_and_place_simple-HandTowel-None-SinkBasin-415_0:,PASS
280,pick_and_place_simple-CellPhone-None-Bed-321_0:,PASS
281,pick_and_place_simple-DishSponge-None-Toilet-403_0:,FAIL
282,pick_and_place_simple-DishSponge-None-Toilet-403_0:,FAIL
283,pick_and_place_simple-CellPhone-None-Bed-321_0:,PASS
284,pick_and_place_simple-HandTowel-None-SinkBasin-415_0:,PASS
285,pick_and_place_simple-Pillow-None-ArmChair-206_0:,PASS
286,pick_and_place_simple-Pillow-None-ArmChair-206_0:,PASS
287,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-413_0:,PASS
288,pick_and_place_simple-Pillow-None-ArmChair-206_0:,PASS
289,pick_and_place_simple-SoapBottle-None-Toilet-406_0:,PASS
290,pick_and_place_simple-Candle-None-Drawer-411_0:,PASS
291,pick_and_place_simple-Candle-None-Drawer-411_0:,PASS
292,pick_and_place_simple-Potato-None-Microwave-30_0:,PASS
293,pick_and_place_simple-Candle-None-Drawer-411_0:,PASS
294,pick_and_place_simple-ToiletPaper-None-ToiletPaperHanger-413_0:,FAIL
295,pick_and_place_simple-Potato-None-Microwave-30_0:,PASS
296,pick_and_place_simple-Potato-None-Microwave-30_0:,PASS
297,pick_and_place_simple-RemoteControl-None-ArmChair-206_0:,PASS
298,pick_and_place_simple-SoapBottle-None-GarbageCan-411_0:,PASS
299,pick_and_place_simple-Book-None-CoffeeTable-229_0:,PASS
300,pick_and_place_simple-SoapBottle-None-GarbageCan-411_0:,PASS
301,pick_and_place_simple-Book-None-CoffeeTable-229_0:,PASS
302,pick_and_place_simple-RemoteControl-None-ArmChair-206_0:,PASS
303,pick_and_place_simple-SoapBottle-None-GarbageCan-411_0:,PASS
304,pick_and_place_simple-Book-None-CoffeeTable-229_0:,PASS
305,pick_and_place_simple-KeyChain-None-Dresser-217_0:,PASS
306,pick_and_place_simple-Pencil-None-SideTable-322_0:,PASS
307,pick_and_place_simple-Pencil-None-SideTable-322_0:,PASS
308,pick_and_place_simple-Pencil-None-SideTable-322_0:,PASS
309,pick_and_place_simple-HandTowel-None-BathtubBasin-408_0:,FAIL
310,pick_and_place_simple-Candle-None-Cabinet-418_0:,FAIL
311,pick_and_place_simple-Candle-None-Cabinet-418_0:,FAIL
312,pick_and_place_simple-HandTowel-None-BathtubBasin-408_0:,PASS
313,pick_and_place_simple-Candle-None-Cabinet-418_0:,FAIL
314,pick_and_place_simple-Ladle-None-SinkBasin-16_0:,PASS
315,pick_and_place_simple-Ladle-None-SinkBasin-16_0:,PASS
316,pick_and_place_simple-Ladle-None-SinkBasin-16_0:,PASS
317,pick_and_place_simple-Pencil-None-Dresser-330_0:,PASS
318,pick_and_place_simple-Pencil-None-Dresser-330_0:,PASS
319,pick_and_place_simple-SoapBottle-None-GarbageCan-407_0:,PASS
320,pick_and_place_simple-Pencil-None-Dresser-330_0:,PASS
321,pick_and_place_simple-Statue-None-CoffeeTable-228_0:,PASS
322,pick_and_place_simple-KeyChain-None-Dresser-217_0:,PASS
323,pick_and_place_simple-KeyChain-None-Dresser-217_0:,PASS
324,pick_and_place_simple-HandTowel-None-GarbageCan-416_0:,PASS
325,pick_and_place_simple-Statue-None-CoffeeTable-228_0:,PASS
326,pick_and_place_simple-Watch-None-CoffeeTable-222_0:,FAIL
327,pick_and_place_simple-Statue-None-CoffeeTable-228_0:,PASS
328,pick_and_place_simple-Watch-None-CoffeeTable-222_0:,PASS
329,pick_and_place_simple-Pillow-None-Sofa-221_0:,PASS
330,pick_and_place_simple-Cloth-None-Drawer-409_0:,FAIL
331,pick_and_place_simple-Watch-None-CoffeeTable-222_0:,PASS
332,pick_and_place_simple-SoapBottle-None-GarbageCan-407_0:,FAIL
333,pick_and_place_simple-HandTowel-None-GarbageCan-416_0:,PASS
334,pick_and_place_simple-SoapBottle-None-GarbageCan-407_0:,FAIL
335,pick_and_place_simple-HandTowel-None-GarbageCan-416_0:,FAIL
