,trial_names,result
152,look_at_obj_in_light-Book-None-DeskLamp-303_0:,PASS
153,look_at_obj_in_light-Bowl-None-DeskLamp-308_0:,PASS
154,look_at_obj_in_light-Bowl-None-DeskLamp-308_0:,PASS
155,look_at_obj_in_light-Statue-None-DeskLamp-218_0:,PASS
156,look_at_obj_in_light-Bowl-None-DeskLamp-308_0:,PASS
157,look_at_obj_in_light-Statue-None-DeskLamp-218_0:,FAIL
158,look_at_obj_in_light-Statue-None-DeskLamp-218_0:,FAIL
159,look_at_obj_in_light-Pillow-None-DeskLamp-320_0:,PASS
160,look_at_obj_in_light-Book-None-DeskLamp-303_0:,PASS
161,look_at_obj_in_light-Pen-None-DeskLamp-327_0:,PASS
162,look_at_obj_in_light-Pillow-None-DeskLamp-320_0:,PASS
163,look_at_obj_in_light-Pillow-None-DeskLamp-320_0:,PASS
164,look_at_obj_in_light-Pen-None-DeskLamp-327_0:,PASS
165,look_at_obj_in_light-Pencil-None-DeskLamp-304_0:,PASS
166,look_at_obj_in_light-Book-None-DeskLamp-303_0:,PASS
167,look_at_obj_in_light-Pencil-None-DeskLamp-308_0:,PASS
168,look_at_obj_in_light-Pencil-None-DeskLamp-304_0:,PASS
169,look_at_obj_in_light-Book-None-DeskLamp-328_0:,PASS
170,look_at_obj_in_light-Pencil-None-DeskLamp-308_0:,PASS
171,look_at_obj_in_light-Pen-None-DeskLamp-327_0:,PASS
172,look_at_obj_in_light-Book-None-DeskLamp-328_0:,PASS
173,look_at_obj_in_light-Book-None-DeskLamp-328_0:,PASS
174,look_at_obj_in_light-Laptop-None-FloorLamp-202_0:,PASS
175,look_at_obj_in_light-Box-None-DeskLamp-224_0:,PASS
176,look_at_obj_in_light-Box-None-DeskLamp-224_0:,PASS
177,look_at_obj_in_light-Box-None-DeskLamp-224_0:,PASS
178,look_at_obj_in_light-Pencil-None-DeskLamp-308_0:,FAIL
179,look_at_obj_in_light-Pencil-None-FloorLamp-212_0:,PASS
180,look_at_obj_in_light-Pencil-None-FloorLamp-212_0:,PASS
181,look_at_obj_in_light-Pencil-None-FloorLamp-212_0:,FAIL
182,look_at_obj_in_light-AlarmClock-None-DeskLamp-320_0:,FAIL
183,look_at_obj_in_light-BaseballBat-None-DeskLamp-303_0:,PASS
184,look_at_obj_in_light-BaseballBat-None-DeskLamp-303_0:,PASS
185,look_at_obj_in_light-Laptop-None-FloorLamp-202_0:,PASS
186,look_at_obj_in_light-CreditCard-None-FloorLamp-221_0:,PASS
187,look_at_obj_in_light-AlarmClock-None-DeskLamp-320_0:,PASS
188,look_at_obj_in_light-AlarmClock-None-DeskLamp-320_0:,PASS
189,look_at_obj_in_light-BaseballBat-None-DeskLamp-303_0:,PASS
190,look_at_obj_in_light-Statue-None-FloorLamp-225_0:,PASS
191,look_at_obj_in_light-CreditCard-None-FloorLamp-221_0:,PASS
192,look_at_obj_in_light-CreditCard-None-FloorLamp-211_0:,PASS
193,look_at_obj_in_light-Statue-None-FloorLamp-225_0:,PASS
194,look_at_obj_in_light-CreditCard-None-FloorLamp-221_0:,PASS
195,look_at_obj_in_light-Statue-None-FloorLamp-225_0:,PASS
196,look_at_obj_in_light-Pillow-None-DeskLamp-309_0:,FAIL
197,look_at_obj_in_light-Pillow-None-DeskLamp-309_0:,FAIL
198,look_at_obj_in_light-Pillow-None-DeskLamp-309_0:,FAIL
199,look_at_obj_in_light-CreditCard-None-FloorLamp-211_0:,FAIL
200,look_at_obj_in_light-CreditCard-None-FloorLamp-211_0:,FAIL
201,look_at_obj_in_light-CreditCard-None-FloorLamp-216_0:,PASS
202,look_at_obj_in_light-CreditCard-None-FloorLamp-216_0:,PASS
203,look_at_obj_in_light-RemoteControl-None-FloorLamp-212_0:,PASS
204,look_at_obj_in_light-CreditCard-None-FloorLamp-216_0:,PASS
205,look_at_obj_in_light-RemoteControl-None-FloorLamp-212_0:,FAIL
